latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),cloud_cover (%),surface_pressure (hPa),wind_speed_10m (km/h),soil_temperature_0_to_7cm (°C),pressure_msl (hPa)
2024-04-16T00:00,5.4,83,0.00,25,994.1,27.7,7.7,998.7
2024-04-16T01:00,5.2,84,0.00,2,994.2,26.9,7.5,998.8
2024-04-16T02:00,4.9,84,0.00,22,994.4,25.4,7.1,999.1
2024-04-16T03:00,4.9,83,0.00,100,994.1,22.9,6.9,998.8
2024-04-16T04:00,5.6,79,0.00,100,994.2,23.7,7.0,998.8
2024-04-16T05:00,5.7,78,0.10,52,994.2,22.5,7.0,998.8
2024-04-16T06:00,6.0,77,0.40,100,994.3,22.9,7.2,998.9
2024-04-16T07:00,6.6,75,0.10,100,994.3,26.7,7.5,998.9
2024-04-16T08:00,6.0,77,0.10,100,994.7,30.3,7.7,999.3
2024-04-16T09:00,6.6,77,0.10,87,994.9,28.3,8.0,999.5
2024-04-16T10:00,8.7,69,0.10,99,994.9,28.3,9.1,999.5
2024-04-16T11:00,9.2,63,0.10,100,994.7,25.6,9.8,999.3
2024-04-16T12:00,9.5,59,0.00,100,994.8,22.1,10.1,999.4
2024-04-16T13:00,8.1,75,0.70,100,995.8,22.3,10.8,1000.4
2024-04-16T14:00,8.5,74,0.10,100,995.5,16.6,10.7,1000.1
2024-04-16T15:00,9.3,65,0.10,100,995.6,15.8,10.8,1000.2
2024-04-16T16:00,9.4,61,0.00,100,995.7,16.4,10.5,1000.3
2024-04-16T17:00,8.1,74,0.00,100,996.1,17.3,10.0,1000.7
2024-04-16T18:00,6.8,79,0.00,100,996.9,12.0,9.3,1001.5
2024-04-16T19:00,6.1,81,0.00,100,998.0,11.6,8.7,1002.6
2024-04-16T20:00,5.5,83,0.00,100,998.5,12.4,8.1,1003.2
2024-04-16T21:00,4.8,85,0.00,100,999.1,13.0,7.6,1003.8
2024-04-16T22:00,3.8,90,0.00,96,999.7,11.0,7.0,1004.4
2024-04-16T23:00,3.3,92,0.00,94,1000.1,10.9,6.5,1004.8
2024-04-17T00:00,3.0,92,0.00,17,1000.6,9.8,6.2,1005.3
2024-04-17T01:00,2.9,92,0.00,61,1001.2,11.2,5.7,1005.9
2024-04-17T02:00,2.8,92,0.00,100,1001.3,10.4,5.5,1006.0
2024-04-17T03:00,2.8,92,0.00,5,1001.6,9.2,5.3,1006.3
2024-04-17T04:00,2.4,94,0.00,74,1002.1,6.1,5.2,1006.8
2024-04-17T05:00,3.1,92,0.00,94,1002.5,5.2,5.3,1007.2
2024-04-17T06:00,4.2,88,0.00,30,1002.9,4.2,5.9,1007.6
2024-04-17T07:00,5.6,81,0.10,69,1002.9,2.6,7.1,1007.6
2024-04-17T08:00,6.9,75,0.10,34,1003.1,3.9,8.4,1007.8
2024-04-17T09:00,8.1,72,0.00,38,1003.2,6.6,9.8,1007.8
2024-04-17T10:00,9.0,67,0.10,32,1003.2,9.0,11.0,1007.8
2024-04-17T11:00,9.8,59,0.00,18,1003.0,9.4,12.0,1007.6
