体重/kg,年龄/岁,身高/cm,尺寸
70.0,28.0,172.72,XL
65.0,36.0,167.64,L
61.0,34.0,165.1,M
71.0,27.0,175.26,L
62.0,45.0,172.72,M
50.0,27.0,160.02,S
53.0,65.0,160.02,M
54.0,26.0,167.64,M
53.0,32.0,165.1,S
70.0,26.0,165.1,L
52.0,28.0,160.02,M
71.0,33.0,165.1,L
69.0,30.0,167.64,L
63.0,27.0,172.72,M
63.0,30.0,167.64,M
54.0,20.0,167.64,S
55.0,37.0,160.02,M
50.0,43.0,160.02,M
82.0,29.0,177.8,XL
64.0,32.0,160.02,XL
54.0,47.0,165.1,M
65.0,31.0,164.94,XL
71.0,27.0,172.72,L
47.0,43.0,157.48,S
61.0,27.0,165.1,M
58.0,29.0,172.72,M
68.0,36.0,162.56,XL
71.0,27.0,170.18,L
71.0,34.0,170.18,L
54.0,40.0,157.48,M
52.0,45.0,154.94,M
52.0,30.0,170.18,S
67.0,34.0,172.72,L
49.0,24.0,167.64,S
61.0,28.0,162.56,M
56.0,32.0,157.48,M
50.0,27.0,170.18,S
71.0,33.0,165.1,L
71.0,33.0,167.64,XL
51.0,30.0,164.56,M
72.0,28.0,162.56,L
63.0,28.0,172.72,M
70.0,27.0,167.64,XL
68.0,28.0,167.64,L
78.0,8.0,175.26,XL
71.0,36.0,167.48,XL
51.0,40.0,159.48,M
53.0,33.0,162.56,S
56.0,32.0,165.1,M
68.0,42.0,165.1,XL
61.0,30.0,172.72,M
54.0,34.0,160.02,S
71.0,36.0,167.64,L
54.0,31.0,162.56,M
69.0,33.0,167.64,L
49.0,17.0,167.64,S
57.0,37.0,157.48,M
58.0,24.0,170.18,M
74.0,31.0,170.18,XL
54.0,36.0,170.18,S
77.0,30.0,167.64,XL
63.0,53.0,167.64,M
62.0,30.0,177.8,M
69.0,30.0,170.18,XL
75.0,27.0,167.64,XL
61.0,31.0,170.18,M
71.0,33.0,167.64,L
71.0,47.0,170.18,L
63.0,31.0,175.26,M
69.0,23.0,162.56,L
66.0,23.0,180.34,XL
,23.0,170.18,XL
53.0,29.0,160.02,M
63.0,34.0,172.72,M
54.0,29.0,167.48,S
56.0,28.0,165.1,M
68.0,29.0,162.56,L
,39.0,160.02,L
63.0,37.0,172.72,M
58.0,29.0,157.48,M
,33.0,167.64,L
62.0,24.0,175.26,M
71.0,33.0,167.48,XL
68.0,42.0,167.64,XL
59.0,31.0,162.56,M
58.0,33.0,160.02,M
58.0,31.0,157.48,M
71.0,29.0,172.72,L
73.0,29.0,180.34,XL
68.0,29.0,162.56,XL
71.0,32.0,172.72,L
58.0,36.0,175.26,M
54.0,37.0,,M
